Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45760;TIRANA II;0.291666667;TOMÉ;45762;0.0625;TOMÉ;10;1;4;ARRASTRE;;13;4;2025;;35;9;35.15;72;36;72.6;LCOL;SI;45760;0.756944444;35;6;35.1;72;36;72.6;-35.1;-72.6;45760;0.8125;165;FANGO;10.6;80;1.333333333;2;S;3;113;VII;106.875;1710;;106.875;1710;;0;0;;1282.5;1282.5;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45760;TIRANA II;0.291666667;TOMÉ;45762;0.0625;TOMÉ;10;2;4;ARRASTRE;;13;4;2025;;35;6;35.1;72;35;72.58333333;LCOL;SI;45760;0.854166667;35;6;35.1;72;35;72.58333333;-35.1;-72.58333333;45760;0.85625;161;;10.8;3;0.05;2;S;4;113;VII;0;0;;0;0;;0;0;;0;0;0;LAN;LAN;LAN;LAN;CONSTITUCION
COMERCIAL;45760;LONQUIMAY;0.308333333;TOMÉ;45762;0.145833333;TOMÉ;S/M;1;4;ARRASTRE;;13;4;2025;;35;7;35.11666667;72;36;72.6;LCOL;SI;45760;0.726388889;35;7;35.11666667;72;36;72.6;-35.11666667;-72.6;45760;0.742361111;167;;;23;0.383333333;2;;;113;VII;33;528;;2;32;;0;0;;1377.391304;83.47826087;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45760;LONQUIMAY;0.308333333;TOMÉ;45762;0.145833333;TOMÉ;S/M;3;4;ARRASTRE;;13;4;2025;;35;4;35.06666667;72;35;72.58333333;LCOL;SI;45760;0.876388889;35;7;35.11666667;72;36;72.6;-35.11666667;-72.6;45760;0.960416667;163;FANGO;10;121;2.016666667;2;;;113;VII;140;2240;;106;1696;;0;0;;1110.743802;840.9917355;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45787;ANTARES;0.654166667;TOMÉ;45789;0.114583333;TOMÉ;S/M;2;4;ARRASTRE;;11;5;2025;;35;32;35.53333333;73;0;73;LCOL;SI;45788;0.088888889;35;25;35.41666667;73;1;73.01666667;-35.41666667;-73.01666667;45788;0.173611111;186;;;122;2.033333333;2;SW;18;113;VII;231;3696;;0;0;;0;0;;1817.704918;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45787;ANTARES;0.654166667;TOMÉ;45789;0.114583333;TOMÉ;S/M;7;4;ARRASTRE;;11;5;2025;;35;29;35.48333333;72;59;72.98333333;LCOL;SI;45788;0.620833333;35;25;35.41666667;72;58;72.96666667;-35.41666667;-72.96666667;45788;0.698611111;175;;;112;1.866666667;2;SW;3;113;VII;279;4464;;4;64;;0;0;;2391.428571;34.28571429;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45790;TIRANA II;0.673611111;TOMÉ;45792;0.1875;TOMÉ;S/M;1;4;ARRASTRE;;14;5;2025;;35;9;35.15;72;36;72.6;LCOL;SI;45791;0.140972222;35;6;35.1;72;37;72.61666667;-35.1;-72.61666667;45791;0.215277778;180;FANGO;10.8;107;1.783333333;2;S;2;113;VII;168.75;2700;;80.625;1290;;0;0;;1514.018692;723.364486;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45791;ANTARES;0.703472222;TOMÉ;45793;0.243055556;TOMÉ;S/M;5;4;ARRASTRE;;15;5;2025;;35;7;35.11666667;72;35;72.58333333;LCOL;SI;45792;0.754166667;35;9;35.15;72;35;72.58333333;-35.15;-72.58333333;45792;0.788888889;160;;;50;0.833333333;2;SW;5;113;VII;100;1600;;2;32;;0;0;;1920;38.4;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45791;LONQUIMAY;0.783333333;TOMÉ;45793;0.416666667;TOMÉ;S/M;2;4;ARRASTRE;;15;5;2025;;35;2;35.03333333;72;33;72.55;LCOL;SI;45792;0.346527778;35;7;35.11666667;72;34;72.56666667;-35.11666667;-72.56666667;45792;0.44375;152;;;140;2.333333333;2;;;113;VII;110;1760;;0;0;;0;0;;754.2857143;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45795;TIRANA II;0.631944444;TOMÉ;45797;0.322916667;TOMÉ;11;2;4;ARRASTRE;;19;5;2025;;35;3;35.05;72;34;72.56666667;LCOL;SI;45796;0.352777778;35;6;35.1;72;35;72.58333333;-35.1;-72.58333333;45796;0.423611111;160;;;102;1.7;2;CALMA;;113;VII;335;5360;;0;0;;0;0;;3152.941176;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45804;ALTAIR I;0.747916667;TOMÉ;45806;0.256944444;TOMÉ;16;3;4;ARRASTRE;;28;5;2025;;35;2;35.03333333;72;32;72.53333333;LCOL;SI;45805;0.510416667;35;6;35.1;72;33;72.55;-35.1;-72.55;45805;0.626388889;153;ARENA-FANGO;11.5;167;2.783333333;2;SW;4;113;VII;421.875;6750;;0;0;;0;0;;2425.149701;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45808;ALTAIR I;0.43125;TOMÉ;45810;0.097222222;TOMÉ;1;2;4;ARRASTRE;;1;6;2025;;35;2;35.03333333;72;32;72.53333333;LCOL;SI;45809;0.016666667;35;6;35.1;72;34;72.56666667;-35.1;-72.56666667;45809;0.134722222;157;;;170;2.833333333;2;SW;3;113;VII;228.75;3660;;0;0;;0;0;;1291.764706;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45808;TIRANA II;0.416666667;TOMÉ;45810;0.111111111;TOMÉ;S/M;1;4;ARRASTRE;;31;5;2025;;35;10;35.16666667;72;35;72.58333333;LCOL;SI;45808;0.871527778;35;6;35.1;72;35;72.58333333;-35.1;-72.58333333;45808;0.954861111;158;FANGO;11;120;2;2;SW;4;113;VII;213.75;3420;;95.625;1530;;0;0;;1710;765;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45816;ANTARES;0.3125;TOMÉ;45817;0.986111111;TOMÉ;7;1;4;ARRASTRE;;8;6;2025;;35;10;35.16666667;72;35;72.58333333;LCOL;SI;45816;0.727777778;35;7;35.11666667;72;34;72.56666667;-35.11666667;-72.56666667;45816;0.790277778;156;;;90;1.5;2;;;113;VII;71;1136;;0;0;;0;0;;757.3333333;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45831;ANTARES;0.796527778;TOMÉ;45833;0.260416667;TOMÉ;13;5;4;ARRASTRE;;24;6;2025;;35;29;35.48333333;72;58;72.96666667;LCOL;SI;45832;0.598611111;35;25;35.41666667;72;57;72.95;-35.41666667;-72.95;45832;0.681944444;160;;;120;2;2;;;113;VII;260;4160;;0;0;;0;0;;2080;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
COMERCIAL;45838;ANTARES;0.645138889;TOMÉ;45840;0.243055556;TOMÉ;1;2;4;ARRASTRE;;1;7;2025;;35;5;35.08333333;72;36;72.6;LCOL;SI;45839;0.120138889;35;7;35.11666667;72;36;72.6;-35.11666667;-72.6;45839;0.175694444;170;;10.6;80;1.333333333;2;SW;5;113;VII;0;0;;200;3200;;0.2;4;;0;2400;3;LAM/CAM;LAN;LAM;CAM;CONSTITUCION
COMERCIAL;45838;ALTAIR I;0.730555556;TOMÉ;45840;0.40625;TOMÉ;S/M;1;4;ARRASTRE;;1;7;2025;;35;10;35.16666667;72;35;72.58333333;LCOL;SI;45839;0.154861111;35;8;35.13333333;72;35;72.58333333;-35.13333333;-72.58333333;45839;0.207638889;159;;;76;1.266666667;2;SW;1;113;VII;50;800;;30.625;490;;0;0;;631.5789474;386.8421053;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45840;ANTARES;0.693055556;TOMÉ;45842;0.340972222;TOMÉ;4;1;4;ARRASTRE;;3;7;2025;;35;8;35.13333333;72;36;72.6;LCOL;SI;45841;0.108333333;35;6;35.1;72;36;72.6;-35.1;-72.6;45841;0.160416667;170;FANGO;10.6;75;1.25;2;;;113;VII;0;0;;221;3536;;0;0;;0;2828.8;0;LAM;LAN;LAM;LAN;CONSTITUCION
COMERCIAL;45840;ALTAIR I;0.882638889;TOMÉ;45842;0.604166667;TOMÉ;S/M;1;4;ARRASTRE;;3;7;2025;;35;8;35.13333333;72;36;72.6;LCOL;SI;45841;0.319444444;35;6;35.1;72;36;72.6;-35.1;-72.6;45841;0.370138889;163;;;73;1.216666667;2;SW;3;113;VII;35.625;570;;200;3200;;0;0;;468.4931507;2630.136986;0;LCOL/LAM;LCOL;LAM;LAN;CONSTITUCION
COMERCIAL;45854;ANTARES;0.6375;TOMÉ;45855;0.854861111;TOMÉ;S/M;1;4;ARRASTRE;;17;7;2025;;35;8;35.13333333;72;36;72.6;LCOL;SI;45855;0.056944444;35;6;35.1;72;36;72.6;-35.1;-72.6;45855;0.116666667;174;FANGO;10.5;86;1.433333333;2;;;113;VII;227;3632;;0;0;;0;0;;2533.953488;0;0;LCOL;LCOL;LAN;LAN;CONSTITUCION
